"Date","nCtry","AUr","NZr","UKr","CNr","JPr","NWr","SDr","SWr","EKr","AUUIP","AUPPP","AUMF","AUTR","AUVOL","AUMA2-9","AUMA3-9","AUBB20","AUBB50","AUTSE","AUDC","NZUIP","NZPPP","NZMF","NZTR","NZVOL","NZMA2-9","NZMA3-9","NZBB20","NZBB50","NZTSE","NZDC","UKUIP","UKPPP","UKMF","UKTR","UKVOL","UKMA2-9","UKMA3-9","UKBB20","UKBB50","UKTSE","UKDC","CNUIP","CNPPP","CNMF","CNTR","CNVOL","CNMA2-9","CNMA3-9","CNBB20","CNBB50","CNTSE","CNDC","JPUIP","JPPPP","JPMF","JPTR","JPVOL","JPMA2-9","JPMA3-9","JPBB20","JPBB50","JPTSE","JPDC","NWUIP","NWPPP","NWMF","NWTR","NWVOL","NWMA2-9","NWMA3-9","NWBB20","NWBB50","NWTSE","NWDC","SDUIP","SDPPP","SDMF","SDTR","SDVOL","SDMA2-9","SDMA3-9","SDBB20","SDBB50","SDTSE","SDDC","SWUIP","SWPPP","SWMF","SWTR","SWVOL","SWMA2-9","SWMA3-9","SWBB20","SWBB50","SWTSE","SWDC","EKUIP","EKPPP","EKMF","EKTR","EKVOL","EKMA2-9","EKMA3-9","EKBB20","EKBB50","EKTSE","EKDC","rOneN","OneN","UIP","PPP","MF","TR","VOL","MA2-9","MA3-9","BB20","BB50","TSE","DC","wAU","wNZ","wUK","wCN","wJP","wNW","wSD","wSW","wEK","u","rPPP","ParaPP","L1","L2"
"1988-01",8,-0.0193905817174516,-0.00106028476219333,-0.061983032873807,0.0189655172413794,-0.0508806262230921,-0.0254602428515472,-0.039290450928382,-0.070065091786733,0,0,-1.04932991287195,-1.14605120100387,0.823625702065788,0,0,0,0,0,0,0,0,-0.444424917946544,0,0.560036173691624,0,0,0,0,0,0,0,0.76259834675266,-0.633204924931353,0.10582121521546,0,0,0,0,0,0,0,0,0.733793850736209,-0.112943715073328,-0.232988354403236,0.0329932110847591,0,0,0,0,0,0,0,-0.131594305931986,2.18630629085138,1.27321834019165,-1.41665508684217,0,0,0,0,0,0,0,0,-0.183741090102366,0,0,0,0,0,0,0,0,0,0,-0.353468426325733,0,0,0,0,0,0,0,0,0,-1.36479789155688,0.590806696399903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0311455992377284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-02",8,0.0149717514124295,0.00758150113722511,0.00248714035385245,0.0122164048865621,-0.00544959128065381,0.00424828888364415,0.00667556742323105,-0.018096947935368,0,0,-1.05232483451192,-1.14746160111757,0.81536356816154,0,0,0,0,0,0,0,0,-0.433536481631718,0,0.55535652116182,0,0,0,0,0,0,0,0.807489096821091,-0.649544973439337,0.111575595117761,0,0,0,0,0,0,0,0,0.688957030311568,-0.125004432096275,-0.235168161378132,0.0519745484778942,0,0,0,0,0,0,0,-0.134372893250251,2.18395216406538,1.27105416737794,-1.42269463780125,0,0,0,0,0,0,0,0,-0.182625437133413,0,0,0,0,0,0,0,0,0,0,-0.334442063677318,0,0,0,0,0,0,0,0,0,-1.36207323388241,0.5935260584246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307926436011531,1.00307926436012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-03",8,0.0314500417478429,-0.0158013544018057,0.0637158161826896,0.0213903743315509,0.0350523771152296,0.0193263833199679,0.0206097768693578,0.0220183486238532,0,0,-1.05789004276625,-1.14526521826531,0.812434573449339,0,0,0,0,0,0,0,0,-0.422111676569397,0,0.548499058740899,0,0,0,0,0,0,0,0.801535701501541,-0.656198498488461,0.120749891321995,0,0,0,0,0,0,0,0,0.767791370488031,-0.124526779294245,-0.245690625004071,0.0655320682241819,0,0,0,0,0,0,0,-0.266665852031401,2.18268876894267,1.27020595194738,-1.42646570041442,0,0,0,0,0,0,0,0,-0.160614712534521,0,0,0,0,0,0,0,0,0,0,-0.348745127124415,0,0,0,0,0,0,0,0,0,-1.30266121995817,0.587398067834621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247202204735858,1.02787560492758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-04",8,0.0221262817053427,0.0285932721712536,-0.00424065730188183,0.0040676863000324,-0.00656420108869682,0.00971659919028345,-0.000680851063829646,-0.0222461428058843,0,0,-1.04964961027799,-1.14408030135121,0.836795360462582,0,0,0,0,0,0,0,0,-0.423979320365465,0,0.496124645034012,0,0,0,0,0,0,0,0.766574620352931,-0.69756980857749,0.132037863320222,0,0,0,0,0,0,0,0,0.865617401696626,-0.117869456589284,-0.256058605714862,0.0968538222187513,0,0,0,0,0,0,0,-0.409251773699465,2.17730255898327,1.26810104374585,-1.42977382771535,0,0,0,0,0,0,0,0,-0.158890792522966,0,0,0,0,0,0,0,0,0,0,-0.320445970767957,0,0,0,0,0,0,0,0,0,-1.22294024835009,0.591102400117879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384649838832744,1.03182932678533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-05",8,0.0587381203801478,0.0301768990634754,-0.0214532871972318,-0.00380906070183962,-0.00151866357605313,-0.014365522745411,-0.0196078431372548,-0.0348386203075218,0,0,-1.04679859892582,-1.11676710524265,0.882006810456557,0,0,0,0,0,0,0,0,-0.428870998918131,0,0.441486448672643,0,0,0,0,0,0,0,0.639238881241733,-0.707538175014008,0.103150817207948,0,0,0,0,0,0,0,0,1.01086995488967,-0.121422331179967,-0.276927191371018,0.096981417388474,0,0,0,0,0,0,0,-0.502497445213843,2.17749013374674,1.29054347940572,-1.42047467651767,0,0,0,0,0,0,0,0,-0.151856118288226,0,0,0,0,0,0,0,0,0,0,-0.308545333083113,0,0,0,0,0,0,0,0,0,-1.14761139091756,0.587541421662526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000834747277711129,1.03096801006374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-06",8,-0.00947512778955251,-0.0288600288600287,-0.0705581547165707,0.0172300082440229,-0.063056990938366,-0.0564759036144578,-0.0465393794749405,-0.0413014608233733,0,0,-1.0446872631494,-1.12802442900003,0.905200972511789,0,0,0,0,0,0,0,0,-0.436479931580899,0,0.381721337490748,0,0,0,0,0,0,0,0.926029832630563,-0.704353276660367,0.0713609818259189,0,0,0,0,0,0,0,0,0.784509600213141,-0.128135902968228,-0.234622953164796,0.133332094157365,0,0,0,0,0,0,0,-0.676327182915981,2.18049293256115,1.29128640033891,-1.4202544041599,0,0,0,0,0,0,0,0,-0.157341456389798,0,0,0,0,0,0,0,0,0,0,-0.292970743346682,0,0,0,0,0,0,0,0,0,-1.03421224992772,0.583475641534218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373796297466583,0.992430807566906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-07",8,0.0100692259282569,-0.0148588410104012,0.000877963125548664,0.00189972743041222,0.00360766629086817,-0.0220913107511046,-0.0208755257828322,-0.0358514724711908,0,0,-1.04087084145656,-1.12797524741877,0.927660644266194,0,0,0,0,0,0,0,0,-0.44307516591615,0,0.361692605494786,0,0,0,0,0,0,0,0.987962284003602,-0.686969829266035,0.0684271044302518,0,0,0,0,0,0,0,0,0.70756155060137,-0.131326398510563,-0.232350734208399,0.122593955448062,0,0,0,0,0,0,0,-0.64053421567913,2.18668720142457,1.29189887719692,-1.41194720520904,0,0,0,0,0,0,0,0,-0.169308234904233,0,0,0,0,0,0,0,0,0,0,-0.293606427842324,0,0,0,0,0,0,0,0,0,-1.05498961892584,0.578469696471299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00965282090505537,0.982851050720804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-08",8,0.00161993769470392,-0.0746606334841629,-0.0160818713450291,-0.0236290322580643,-0.0254175212423089,-0.0204847085978073,-0.0113968889573387,-0.0145110410094638,0,0,-1.03453603759764,-1.12028684710361,0.951972797501634,0,0,0,0,0,0,0,0,-0.446137831739148,0,0.34409871450937,0,0,0,0,0,0,0,1.0315701482137,-0.69011600841523,0.0584767229505598,0,0,0,0,0,0,0,0,0.626565569959157,-0.131167748807165,-0.236498835230057,0.105437264535602,0,0,0,0,0,0,0,-0.538747703124229,2.19166198894568,1.29830895938311,-1.40150877654661,0,0,0,0,0,0,0,0,-0.163844154696707,0,0,0,0,0,0,0,0,0,0,-0.29271356381236,0,0,0,0,0,0,0,0,0,-1.11938801504862,0.566853356122573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230702198999339,0.960176460851794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-09",8,-0.0258770838517043,-0.00211898940505306,0.00505200594353639,0.0186478271584654,0.0195668409260643,0.00202370627348936,0.0105836575875486,0.000947268708556992,0,0,-1.02475335997169,-1.13545076511585,0.962686833094302,0,1.88308296634566,1.8811472610584,0,0,0,0,0,-0.450366431296354,0,0.31965578323999,0,-0.742887535086463,-0.266618044233675,0,0,0,0,0.984129496446492,-0.704886993010888,0.0703166379753216,0,0,-0.253085177065978,-0.338578989344281,0,0,0,0,0.685920905920848,-0.128156563428257,-0.221936672676929,0.11673797030705,0,1.13623731320218,1.12828047741676,0,0,0,0,-0.546522625960295,2.19442427293371,1.28707079981746,-1.39908058664134,0,-0.0998850432256298,-0.156996423689505,0,0,0,0,0,-0.152944649079285,0,0,0,-0.58509923108739,-0.634165898874721,0,0,0,0,0,-0.290515892229315,0,0,0,-0.282462737581387,-0.435900837588957,0,0,0,0,-1.12352777640705,0.557199616082082,0,0,0,-1.055900555501,-1.17716754474402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00360315416761296,0.963636124668356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-10",8,0.0472541507024264,0.0225416530545575,0.0461265523358958,-0.00196769697466592,0.0669322709163347,0.0403007518796992,0.0371267150928167,0.0546120546120545,0,0,-1.01942052797244,-1.1179141685517,0.989771402520574,0,1.67357573270624,1.89012346154025,0,0,0,2.14445257591294,0,-0.463054014612555,0,0.272590135056927,0,-1.24796474763899,-1.02962318337504,0,0,0,-1.08576134339638,0.99916747349234,-0.710165795814576,0.0842850806025864,0,0,-0.200778736725922,-0.248571328847718,0,0,0,-0.651676906297912,0.714081417120042,-0.121912024100952,-0.260671594555233,0.126865688641329,0,0.969914418675875,0.977413384816986,0,0,0,0.542641335559296,-0.746758142359189,2.1976299022084,1.29430068250435,-1.38922722621883,0,0.584284916512741,0.21415967848406,0,0,0,-0.0347040302565074,0,-0.16228124794233,0,0,0,-0.674048867130977,-0.62975572428747,0,0,0,-0.152087786104745,0,-0.267997840236246,0,0,0,-0.19579959059372,-0.256049962389745,0,0,0,-0.0748480370696874,-0.966490748253194,0.547201548470707,0,0,0,-0.90918312580524,-0.91769632594133,0,0,0,-0.688015808347009,0,0,0,0,0,0,0,0,0,0,0,0.0391158064523899,1.00132952881141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-11",8,0.0670731707317074,0.0463258785942493,0.045392877331826,0.0268563731267892,0.0295324036095159,0.0244954552457251,0.0254075974509642,0.0330237358101135,0,0,-1.01616624642472,-1.11037555556578,1.02176101737531,0,1.88205230718782,1.78946574684507,0,0,0,1.77359467546483,0,-0.477578582015614,0,0.260375337444402,0,-1.31483291470653,-1.32651975582076,0,0,0,-0.640150395358255,1.10007638739554,-0.697596511718833,0.0629883037110715,0,0,0.0391484582746445,-0.117748436444047,0,0,0,1.34689040173094,0.589862459690929,-0.131174597104017,-0.255597260559741,0.0890935481166554,0,-0.0713520488153504,0.611181880391816,0,0,0,0.0575354513671744,-0.928478605960989,2.20391424040219,1.30298451241445,-1.37122990293637,0,0.945983504766327,0.729445182953251,0,0,0,-0.702587557939682,0,-0.160381025845769,0,0,0,-0.731165792158416,-0.757318381086428,0,0,0,-0.686051311335137,0,-0.256489356141815,0,0,0,-0.297921802649949,-0.225436900490555,0,0,0,-0.609853315581303,-0.761460241125482,0.535472078848572,0,0,0,-0.451911711898547,-0.70306933634834,0,0,0,-0.539377948348566,0,0,0,0,0,0,0,0,0,0,0,0.0372634364876113,1.03864250811145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1988-12",8,-0.0245714285714286,-0.0396946564885496,-0.0220624019899421,-0.00419181757209941,-0.0251899240303878,-0.0112718964204115,-0.0145979448703311,-0.0322902796271637,0,0,-1.01678201872205,-1.11665678865839,1.05460829324664,0,1.83078392985329,1.5996126949745,0,0,0,1.8026393051434,0,-0.495180010870728,0,0.230886587567017,0,-1.51967318132182,-1.69796651443905,0,0,0,-1.31207484952951,1.08699663882183,-0.686188877188583,0.081741562307153,0,0,0.358991398636038,0.276452447926295,0,0,0,0.836626509346293,0.611821233978928,-0.134166884094102,-0.260639800541935,0.0672681182952338,0,-0.141304669052879,-0.1381560894886,0,0,0,0.393859542131797,-0.873094399968907,2.20523731151568,1.29555502689317,-1.35276299910889,0,0.753566026035788,0.999725255423195,0,0,0,-0.236252060567265,0,-0.162652451164728,0,0,0,-0.63807218863702,-0.600400258977383,0,0,0,-0.281871448923532,0,-0.242815846551664,0,0,0,-0.261201965544187,-0.163835740211604,0,0,0,-0.204538670214891,-0.825723472831848,0.532548777076179,0,0,0,-0.383089349969208,-0.275431795207356,0,0,0,-0.998388327386286,0,0,0,0,0,0,0,0,0,0,0,-0.0217337936962892,1.01606886611596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1989-01",8,0.0397188049209138,-0.0437201907790142,-0.0323472491014652,0.00785804816223079,-0.0417624521072797,-0.0294922019365806,-0.0360062893081762,-0.0610739513658811,0,0,-1.01969618952738,-1.10017515960558,1.02482972720547,0,1.80382038796868,1.82376272621136,0,0,0,1.92647931903984,0,-0.480296044285553,0,0.116953731335823,0,-1.64414403036834,-1.66301179370706,0,0,0,-1.07689270261681,1.05956736490474,-0.677006238548665,0.0586326274782619,0.486966858580299,0,0.265459730825264,0.407223329395066,0,0,0,-0.662962080562914,0.600584062555465,-0.147726722388649,-0.267826036133957,0.0140255101512741,0,0.48014437628285,0.0755144016050404,0,0,0,0.687399070181225,-1.0932908367608,2.20617656553433,1.30936856826128,-1.64277582727286,0,0.233035273548737,0.494335208303174,0,0,0,0.162148098867926,0,-0.166479813166835,0,0,0,-0.212267837487299,-0.398080008993104,0,0,0,0.0218466569441404,0,-0.253606711338706,0,0,0,-0.136015163211595,-0.196230714229356,0,0,0,0.0324499133163716,-0.566860590699407,0.538635153721459,0,0,0,-0.790032737558304,-0.543513148585125,0,0,0,-1.09046827516978,0,0,0,0,0,0,0,0,0,0,0,-0.0246031851894066,0.991070335637716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1989-02",8,-0.0998422357448727,0.0345802161263506,-0.00342857142857145,-0.0129274395329442,0.028611965003547,0.0082724698166643,0.0116112613329091,0.0288121422599523,0,0,-1.01971019402921,-1.10797988092911,0.995907275617516,0,1.38523244796271,1.34642736414502,0,0,0,-1.60837638611256,0,-0.477830440215592,0,0.0815237587957949,0,-1.61479586647394,-1.878913703524,0,0,0,-0.858185886972211,0.995088720600788,-0.678803533780445,0.0722845746768438,0.529067805055973,0,0.194866526555505,0.422007047750728,0,0,0,-0.658353483271072,0.694182594910836,-0.132294983614763,-0.266634067509726,0.0426792333351885,0,0.865033337765634,0.440635787644053,0,0,0,1.32207362038538,-1.06945800356552,2.20505530754885,1.302329373762,-1.64917807280447,0,0.500224340390733,0.651157724521738,0,0,0,0.784232987138134,0,-0.172883142423211,0,0,0,-0.0141293286446392,-0.0166121603298914,0,0,0,0.587538975951265,0,-0.263773038303043,0,0,0,-0.124179299195091,-0.0379641358733357,0,0,0,0.685747933985052,-0.619813311946106,0.540240024817416,0,0,0,-1.19225215836091,-0.926737924334315,0,0,0,-0.254677761103992,0,0,0,0,0,0,0,0,0,0,0,-0.000538774020870617,0.990536372688019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
