;L2=1;L2=2;L2=4;L2=8;L2=16
L1=1;-0.0182467161927914;-0.0182566280185888;-0.0182566280185888;-0.0182566280185888;-0.0182566280185888
L1=2;-0.0207290656080556;-0.0301730922647646;-0.0332276410230445;-0.033208838630607;-0.033208838630607
L1=4;-0.0207304988757409;-0.0300221776273908;-0.040571699811958;-0.0503715665529531;-0.050367054579247
L1=8;-0.0207304988757409;-0.0300223910796222;-0.0405726239994058;-0.0519952808925481;-0.0583837482895817
L1=16;-0.0207304988757409;-0.0300225329477674;-0.0405697576829621;-0.0519972633849543;-0.0583837469861839
